32768B_2W_64B_16384B_1W_64B,270.89,133.37,267.41,134.41,267.41,134.41,267.09,134.53,254.71,138.56,254.35,138.69,254.35,
32768B_2W_64B_16384B_2W_64B,208.3,163.98,208.19,164.04,208.19,164.04,208.09,164.1,208.09,164.09,208.09,164.1,208.09,
32768B_2W_64B_8192B_1W_64B,279.49,132.46,276,133.45,276,133.46,275.68,133.58,263.3,137.43,262.95,137.54,262.95,
32768B_4W_64B_8192B_1W_64B,279.49,132.46,276,133.45,276,133.46,275.68,133.58,263.3,137.43,262.95,137.54,262.95,
8192B_1W_64B_8192B_1W_64B,279.49,132.46,276,133.45,276,133.46,275.68,133.58,263.3,137.43,262.95,137.54,262.95,
32768B_4W_64B_16384B_2W_64B,208.3,163.98,208.19,164.04,208.19,164.04,208.09,164.1,208.09,164.09,208.09,164.1,208.09,
16384B_1W_64B_8192B_1W_64B,279.49,132.46,276,133.45,276,133.46,275.68,133.58,263.3,137.43,262.95,137.54,262.95,
16384B_1W_64B_16384B_2W_64B,208.3,163.98,208.19,164.04,208.19,164.04,208.09,164.1,208.09,164.09,208.09,164.1,208.09,
16384B_1W_64B_16384B_1W_64B,270.89,133.37,267.41,134.41,267.41,134.41,267.09,134.53,254.71,138.56,254.35,138.69,254.35,
32768B_1W_64B_16384B_2W_64B,208.3,163.98,208.19,164.04,208.19,164.04,208.09,164.1,208.09,164.09,208.09,164.1,208.09,
16384B_1W_64B_32768B_1W_64B,248.69,136.49,245.2,137.66,245.2,137.66,244.88,137.77,232.15,142.53,232.15,142.53,232.15,
8192B_1W_64B_32768B_4W_64B,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,
8192B_1W_64B_32768B_2W_64B,207.96,166.69,207.96,166.69,207.96,166.69,207.9,166.72,207.91,166.72,207.9,166.72,207.9,
8192B_1W_64B_32768B_1W_64B,248.69,136.49,245.2,137.66,245.2,137.66,244.88,137.77,232.15,142.53,232.15,142.53,232.15,
8192B_1W_64B_16384B_1W_64B,270.89,133.37,267.41,134.41,267.41,134.41,267.09,134.53,254.71,138.56,254.35,138.69,254.35,
8192B_1W_64B_16384B_2W_64B,208.3,163.98,208.19,164.04,208.19,164.04,208.09,164.1,208.09,164.09,208.09,164.1,208.09,
32768B_1W_64B_32768B_4W_64B,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,
32768B_1W_64B_32768B_2W_64B,207.96,166.69,207.96,166.69,207.96,166.69,207.9,166.72,207.91,166.72,207.9,166.72,207.9,
32768B_1W_64B_32768B_1W_64B,248.69,136.49,245.2,137.66,245.2,137.66,244.88,137.77,232.15,142.53,232.15,142.53,232.15,
32768B_4W_64B_32768B_4W_64B,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,
32768B_4W_64B_32768B_1W_64B,248.69,136.49,245.2,137.66,245.2,137.66,244.88,137.77,232.15,142.53,232.15,142.53,232.15,
32768B_4W_64B_32768B_2W_64B,207.96,166.69,207.96,166.69,207.96,166.69,207.9,166.72,207.91,166.72,207.9,166.72,207.9,
16384B_2W_64B_32768B_4W_64B,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,201.87,207.46,
16384B_2W_64B_16384B_2W_64B,208.3,163.98,208.19,164.04,208.19,164.04,208.09,164.1,208.09,164.09,208.09,164.1,208.09,
16384B_2W_64B_16384B_1W_64B,270.89,133.37,267.41,134.41,267.41,134.41,267.09,134.53,254.71,138.56,254.35,138.69,254.35,
32768B_1W_64B_8192B_1W_64B,279.49,132.46,276,133.45,276,133.46,275.68,133.58,263.3,137.43,262.95,137.54,262.95,
