200000,381772,345461,
199000,381772,345461,
198000,381772,345461,
197000,381772,345461,
196000,381772,345461,
195000,381772,345461,
194000,2147483647,345461,
193000,2147483647,349299,
192000,2147483647,349299,
191000,2147483647,349299,
190000,2147483647,349299,
189000,2147483647,349299,
188000,2147483647,349299,
187000,2147483647,349299,
186000,2147483647,349299,
185000,2147483647,349299,
184000,2147483647,349299,
183000,2147483647,349299,
182000,2147483647,349299,
181000,2147483647,349299,
180000,2147483647,349299,
179000,2147483647,376250,
178000,2147483647,376250,
177000,2147483647,376250,
176000,2147483647,376250,
175000,2147483647,376250,
