1024B_1W_16B_1024B_1W_16B,78805822.1343485,2023603.036,1510684.384032,97069881.1891423,1793310.448,1687567.842167,120079900.25837,1719415.084,2507809.480966,143883337.962474,1679312.56,3200411.066329,168898724.5712,1661997.004,3637316.019891,194533630.745667,1654031.2,3972136.189341,220228959.448568,1648294.498,4259350.873374,
1024B_1W_16B_1024B_1W_32B,84644245.2943676,2161036.318,1493504.35167,98591481.8630018,1823224.246,1658160.007817,121083911.789303,1736156.29,2490431.089467,145177735.867336,1696169.872,3180940.252825,170346415.218309,1677740.764,3634855.93859,196284175.942683,1670160.352,3973427.835435,222308899.256003,1664913.826,4258748.726403,
1024B_1W_16B_1024B_1W_64B,98305524.2306681,2429029.888,1681982.661783,103791749.181642,1885355.662,1887739.263559,125769936.899132,1779123.112,2742900.954476,150624647.290318,1740027.136,3457726.336717,176629326.250602,1722859.21,3913822.06939,203260385.082291,1715058.352,4276705.939663,229991982.848347,1709732.572,4577387.632851,
1024B_1W_16B_2048B_1W_16B,84078858.6556009,1946110.606,2120499.705656,103212328.069415,1763171.506,2233462.453107,125187056.73771,1686487.6,3095238.096409,149113474.274026,1654822.186,3689661.068394,173873794.986861,1639378.09,4097467.799559,199332456.746313,1633113.472,4416141.190838,224819034.864371,1628415.064,4704101.268284,
1024B_1W_16B_2048B_2W_16B,77119430.0166268,1786481.614,1902508.298786,100654381.316059,1709581.036,2128161.119943,123598389.695269,1655452.774,2976584.927114,147029819.184243,1623928.996,3560591.554557,171549948.601506,1610763.508,3927005.491805,196630660.487096,1605134.92,4223453.871956,221695116.954598,1600627.654,4501287.768056,
1024B_1W_16B_2048B_1W_32B,88223228.8837414,2058202.258,2079697.408774,103124783.571997,1780492.024,2122995.997235,124740673.07148,1695226.708,2998868.152651,148800732.240105,1663240.726,3586968.425104,173752288.052795,1648187.572,3984241.264524,199380263.223332,1642102.774,4304326.809412,225031763.053155,1637522.692,4584900.001889,
1024B_1W_16B_2048B_2W_32B,75639789.0200698,1773178.306,1744053.175075,99758272.0771438,1707744.472,1958524.632264,122657845.361275,1653058.99,2801513.428416,145865468.252466,1619456.182,3375485.272649,170290274.589249,1606017.634,3737371.855945,195270122.586805,1600173.484,4042918.055773,220238216.480363,1595533.24,4322388.486436,
1024B_1W_16B_2048B_1W_64B,100031370.646418,2287728.034,2186749.90806,107236135.802608,1835111.326,2153444.240203,127947881.9574,1727874.448,3055978.809654,152577946.683758,1696359.772,3650774.381406,177984778.004295,1680635.29,4070049.809012,204067137.749549,1674041.002,4386895.668999,230249039.210124,1669587.682,4675923.503372,
1024B_1W_16B_2048B_2W_64B,81278428.3501005,1860548.782,1647468.499443,103134043.711733,1740377.074,1862019.722981,125087910.648777,1668211.978,2721576.595871,148473671.312621,1634141.194,3299530.860091,172928337.791934,1618970.824,3687201.273073,197930723.299443,1611732.07,4000628.916539,223031688.75669,1606751.722,4283060.364747,
1024B_1W_16B_4096B_1W_16B,98421348.7827075,1893914.326,3253008.315507,117447317.625099,1742309.194,3266855.527802,137371848.396685,1654161.652,4170549.614903,161629767.51411,1633067.212,4618081.375475,185958400.227006,1618055.128,4943557.15976,211019826.915153,1611788.29,5232361.864169,236249432.486446,1607904.844,5493173.73275,
1024B_1W_16B_4096B_2W_16B,91159585.3431837,1757292.43,3146317.16917,114831859.296797,1697435.68,3311567.882747,136290693.646495,1634340.172,4195509.501142,159956292.545814,1610742.016,4683466.449551,184406850.539344,1599664.882,5037134.114269,209306662.282842,1594368.85,5327604.878175,234260573.710414,1590515.596,5591648.870627,
1024B_1W_16B_4096B_4W_16B,91346454.5948042,1738840.444,3077642.736867,115206479.103909,1685889.892,3253763.424295,137141888.831002,1630459.378,4163875.321467,160645598.046621,1606079.116,4667139.282304,185309656.697101,1597389.592,5016887.324882,210297139.597293,1593006.424,5292076.540227,235243125.096971,1589258.62,5534912.454209,
1024B_1W_16B_4096B_1W_32B,100470681.899332,1991441.212,3268619.98457,115026344.615036,1753048.732,3151691.662886,134856828.609373,1660030.288,4075194.434821,159302425.691414,1639448.446,4519272.30641,183771951.138275,1624521.166,4826584.099679,208987908.992361,1618539.598,5111104.278779,234348909.456962,1614759.826,5371737.125254,
1024B_1W_16B_4096B_2W_32B,86604973.5258606,1723489.06,2929888.212726,111139415.985568,1681449.586,3098576.334516,133037138.643987,1624996.762,4007938.199986,156640566.131735,1601871.022,4470986.932362,181051312.854292,1591490.524,4802025.988549,205871486.301518,1586506.402,5076797.333107,230737120.941885,1582858.72,5333083.794953,
1024B_1W_16B_4096B_4W_32B,87871417.2755601,1703637.832,2856014.209536,112653438.685089,1669896.496,3028445.648524,134736984.147062,1618334.998,3952256.394204,158249736.675615,1595639.494,4413044.526652,182883630.13081,1587998.698,4730439.895789,207766621.766145,1583916.562,4999755.1395,232601890.3198,1580371.222,5224807.204865,
1024B_1W_16B_4096B_1W_64B,109868642.232656,2168880.904,3296529.254871,117094492.471244,1788095.848,3028949.608033,135666389.12234,1673929.906,3970289.211814,160388449.117828,1653761.428,4418000.26059,185034060.267566,1638327.766,4726192.495738,210439591.613437,1632091.342,5014261.472368,236014978.352178,1628280.49,5279918.305123,
