1024B_1W_16B_1024B_1W_16B,258841.899366627,6500.18,7739.656668,260877.637223912,4839.842,9915.78444,240819.090873877,3580.88,12243.757844,251905.794557412,3086.042,12458.605244,272824.278903707,2825.636,12612.446044,292842.174063697,2624.504,12297.131972,324903.384197667,2553.908,12032.775012,
1024B_1W_16B_1024B_1W_32B,270022.677564026,6723.866,7624.503144,272629.146784651,5006.696,10456.763524,240589.900759401,3553.484,12889.52004,250278.812965151,3046.88,13242.241996,267657.831171151,2759.168,13422.11368,286722.598490151,2558.48,13054.531008,317745.506379401,2487.884,12963.4169,
1024B_1W_16B_1024B_1W_64B,280377.473134683,6819.608,7819.950256,284304.444009383,5106.656,11721.35128,247528.009017208,3576.854,14420.56658,257057.157510783,3066.032,15030.080056,274347.525982958,2775.434,15551.326776,292083.882558883,2562.536,15087.047668,323152.333130733,2491.94,15144.714068,
1024B_1W_16B_2048B_1W_16B,271925.473372691,6146.108,7624.38234,260615.803004641,4479.776,8917.685008,244765.270204566,3409.958,11109.858376,248487.048105716,2890.034,10934.868876,268463.091392791,2658.932,10897.261368,285736.043485641,2464.016,11014.2644,313003.168299416,2380.322,10485.365472,
1024B_1W_16B_2048B_2W_16B,257206.67131449,5805.926,8066.869864,255666.22132724,4378.466,9646.286204,242771.123369965,3369.032,11397.671872,247830.127044315,2871.308,11577.78594,268716.414067565,2651.528,11672.894656,285915.437384515,2457.5,11337.299676,314867.60522919,2386.238,11086.92478,
1024B_1W_16B_2048B_1W_32B,265963.737460045,6087.068,7715.569348,263235.0532947,4547.054,9519.915648,243930.311401055,3411.08,12029.165112,245552.33133214,2865.182,11979.456812,263978.75544825,2622.314,12199.346472,282423.61251668,2439.83,12306.117304,309465.24122599,2356.802,11972.6184,
1024B_1W_16B_2048B_2W_32B,251993.171497199,5720.24,7711.893584,252291.357761374,4329.41,9714.241248,239125.129511124,3319.31,12219.720252,242322.623575904,2807.822,12223.568348,260421.063591079,2571.392,12320.157456,277770.826198539,2387.576,12166.409184,304088.613093494,2305.658,11979.74174,
1024B_1W_16B_2048B_1W_64B,267153.750607568,6054.686,7784.10898,266584.176668293,4555.076,10599.108456,247083.517573908,3414.662,13506.506124,249923.009833778,2880.53,14014.372508,264809.522640553,2604.14,14338.08926,284603.628622728,2434.31,14160.440696,311527.160470853,2351.06,14079.352952,
1024B_1W_16B_2048B_2W_64B,271315.633690668,5988.95,7805.590556,278058.512615513,4642.076,11111.95312,246526.135315978,3354.698,13651.18042,250551.716148243,2848.76,14008.323064,264808.927314038,2574.146,14347.372456,280422.007967548,2377.454,13902.599156,306596.982960393,2295.98,13951.611536,
1024B_1W_16B_4096B_1W_16B,291682.954514318,5528.642,7203.532336,257470.112399593,3884.732,9004.362264,249971.168589858,3115.946,10125.136128,254804.642553323,2693.48,9950.193764,277581.245525263,2527.424,10103.702024,291337.311415803,2334.728,9803.083752,315623.102854013,2249.924,9310.326264,
1024B_1W_16B_4096B_2W_16B,242921.511301845,4652.96,5900.509456,229853.674669055,3484.796,7775.086076,222577.98190702,2791.49,9187.27928,225431.63073423,2400.326,9172.09896,252640.62018719,2308.862,9499.94188,271883.530688815,2181.212,8781.434992,304945.76524884,2169.002,8437.795972,
1024B_1W_16B_4096B_4W_16B,230438.774677215,4379.156,5417.361552,209345.75482193,3173.03,7508.135072,213028.411243465,2658.656,8621.0114,217921.6890873,2308.562,8798.98336,239424.22957802,2183.354,8835.317168,269574.3202879,2148.722,8669.039032,303387.67153779,2144.726,8280.843384,
1024B_1W_16B_4096B_1W_32B,273320.79966208,5371.55,7010.681276,253486.95220914,3917.006,9228.616736,245157.461222915,3116.696,10622.571012,249241.544538265,2679.356,10604.338508,270414.75101847,2499.314,10971.271204,285665.17472945,2318.162,10899.837564,309981.57543154,2234.246,10385.030552,
1024B_1W_16B_4096B_2W_32B,237488.384923812,4673.654,5944.679188,229423.990906262,3543.674,8042.148396,224299.983682252,2851.478,9784.851824,227007.866514732,2443.886,9729.673304,250448.821286297,2314.46,10096.063892,269313.914864632,2181.926,10013.457536,301009.476731412,2160.614,9562.609852,
1024B_1W_16B_4096B_4W_32B,243242.912883789,4656.068,6220.40474,224465.180430794,3405.986,8363.209892,222385.139253409,2781.5,9416.713772,232570.723361514,2459.378,9959.376068,252058.482649019,2297.096,9987.758236,272292.482704009,2177.66,9850.05966,304785.930788859,2162.12,9513.935764,
1024B_1W_16B_4096B_1W_64B,267033.057392177,5274.38,7060.199412,252777.409278247,3908.192,9927.617524,246953.065610652,3133.19,11932.59126,251989.369910402,2700.29,12210.910468,269715.304441882,2488.058,12668.14156,286453.073698002,2318.45,12498.58798,310851.013600037,2234.756,12522.397416,
1024B_1W_16B_4096B_2W_64B,244272.116875222,4767.026,6325.075816,244214.431714182,3725.402,9015.134656,229491.127857677,2893.124,11456.309496,229200.005108392,2450.678,11420.208264,252833.575353792,2321.918,11917.332548,271210.599361127,2184.944,12118.8849,302989.083390352,2163.854,12265.649084,
1024B_1W_16B_4096B_4W_64B,266968.150493374,4941.41,7088.473136,258501.334002354,3783.458,9671.91916,242100.349047719,2943.632,11928.709776,250427.277351439,2583.104,12220.705076,264400.417065129,2361.548,12446.35896,280303.934090714,2204.594,12471.1345,311553.105250504,2178.398,12303.583092,
1024B_1W_32B_1024B_1W_16B,249268.49003249,6195.206,7444.000004,247834.262790865,4550.408,9511.167164,223473.388127865,3291.224,11767.177048,230015.46356699,2795.942,11972.555104,246382.09132399,2535.758,12053.43974,261838.608523365,2334.848,11752.051872,289277.534072615,2264.252,11545.417296,
